//Rank# PlayerName TotalLevel XPTotal
0	Jeton	2079	1099562811
1	Sigma	2079	945001300
2	I Am Test	2079	945001300
3	Fr33 Me	2079	944090871
4	Adam	2079	922508016
5	Reader	2079	916999086
6	Mod Frank	2079	384881006
7	Crystal Meth	2079	350485947
8	Pase	2079	345460709
9	Meerster	2079	343751930
10	Play Boy	2079	329676555
11	Fluxrealm	2079	306893259
12	Intrum	2079	304488279
13	Evan	2079	303553806
14	Footstep	2079	302214360
15	Mucho Dinero	2079	302214360
16	Play Boy31	150	201271
17	Flow Like Me	30	1300
18	Gbhn	30	1300
19	Wings	30	1300
20	Kitty	30	1300
21	Test Man	30	1300
22	Play Boyafaf	30	1300
23	Play Boyasda	30	1300
24	Prime Porn	30	1300
25	Rofl	30	1300
26	Roflasdasd	30	1300
27	Evanasd	30	1300
28	Evandd3er343	30	1300
.
